timestamp,ip,module,level,message
"2025-11-04 09:56:48",172.16.38.19,php7,error,"PHP Fatal error:  Uncaught Error: Call to a member function bind_param() on bool in /home/idzneladze/public_html/create_admin.php:12\nStack trace:\n#0 {main}\n  thrown in /home/idzneladze/public_html/create_admin.php on line 12"
"2025-11-04 09:57:04",172.16.38.19,php7,error,"PHP Fatal error:  Uncaught Error: Call to a member function bind_param() on bool in /home/idzneladze/public_html/create_admin.php:12\nStack trace:\n#0 {main}\n  thrown in /home/idzneladze/public_html/create_admin.php on line 12"
"2025-11-04 09:57:05",172.16.38.19,php7,error,"PHP Fatal error:  Uncaught Error: Call to a member function bind_param() on bool in /home/idzneladze/public_html/create_admin.php:12\nStack trace:\n#0 {main}\n  thrown in /home/idzneladze/public_html/create_admin.php on line 12"
"2025-11-04 09:57:06",172.16.38.19,php7,error,"PHP Fatal error:  Uncaught Error: Call to a member function bind_param() on bool in /home/idzneladze/public_html/create_admin.php:12\nStack trace:\n#0 {main}\n  thrown in /home/idzneladze/public_html/create_admin.php on line 12"
"2025-11-04 09:57:17",172.16.38.19,php7,error,"PHP Fatal error:  Uncaught Error: Call to a member function bind_param() on bool in /home/idzneladze/public_html/create_admin.php:12\nStack trace:\n#0 {main}\n  thrown in /home/idzneladze/public_html/create_admin.php on line 12"
"2025-11-04 09:57:19",172.16.38.19,php7,error,"PHP Fatal error:  Uncaught Error: Call to a member function bind_param() on bool in /home/idzneladze/public_html/create_admin.php:12\nStack trace:\n#0 {main}\n  thrown in /home/idzneladze/public_html/create_admin.php on line 12"
"2025-11-04 09:57:37",172.16.38.19,php7,error,"PHP Fatal error:  Uncaught Error: Call to a member function bind_param() on bool in /home/idzneladze/public_html/login.php:20\nStack trace:\n#0 {main}\n  thrown in /home/idzneladze/public_html/login.php on line 20, referer: http://10.60.36.1/~idzneladze/login.php"
"2025-11-04 09:58:36",172.16.38.19,php7,error,"PHP Fatal error:  Uncaught Error: Call to a member function bind_param() on bool in /home/idzneladze/public_html/create_admin.php:21\nStack trace:\n#0 {main}\n  thrown in /home/idzneladze/public_html/create_admin.php on line 21"
"2025-11-04 10:00:23",172.16.38.19,php7,error,"PHP Fatal error:  Uncaught Error: Call to a member function bind_param() on bool in /home/idzneladze/public_html/create_admin.php:21\nStack trace:\n#0 {main}\n  thrown in /home/idzneladze/public_html/create_admin.php on line 21"
"2025-11-04 10:00:24",172.16.38.19,php7,error,"PHP Fatal error:  Uncaught Error: Call to a member function bind_param() on bool in /home/idzneladze/public_html/create_admin.php:21\nStack trace:\n#0 {main}\n  thrown in /home/idzneladze/public_html/create_admin.php on line 21"
"2025-11-04 10:00:24",172.16.38.19,php7,error,"PHP Fatal error:  Uncaught Error: Call to a member function bind_param() on bool in /home/idzneladze/public_html/create_admin.php:21\nStack trace:\n#0 {main}\n  thrown in /home/idzneladze/public_html/create_admin.php on line 21"
"2025-11-04 10:00:24",172.16.38.19,php7,error,"PHP Fatal error:  Uncaught Error: Call to a member function bind_param() on bool in /home/idzneladze/public_html/create_admin.php:21\nStack trace:\n#0 {main}\n  thrown in /home/idzneladze/public_html/create_admin.php on line 21"
"2025-11-04 10:00:24",172.16.38.19,php7,error,"PHP Fatal error:  Uncaught Error: Call to a member function bind_param() on bool in /home/idzneladze/public_html/create_admin.php:21\nStack trace:\n#0 {main}\n  thrown in /home/idzneladze/public_html/create_admin.php on line 21"
"2025-11-04 10:00:24",172.16.38.19,php7,error,"PHP Fatal error:  Uncaught Error: Call to a member function bind_param() on bool in /home/idzneladze/public_html/create_admin.php:21\nStack trace:\n#0 {main}\n  thrown in /home/idzneladze/public_html/create_admin.php on line 21"
"2025-11-04 10:00:25",172.16.38.19,php7,error,"PHP Fatal error:  Uncaught Error: Call to a member function bind_param() on bool in /home/idzneladze/public_html/create_admin.php:21\nStack trace:\n#0 {main}\n  thrown in /home/idzneladze/public_html/create_admin.php on line 21"
"2025-11-04 10:01:05",172.16.38.19,php7,error,"PHP Fatal error:  Uncaught Error: Call to a member function bind_param() on bool in /home/idzneladze/public_html/login.php:20\nStack trace:\n#0 {main}\n  thrown in /home/idzneladze/public_html/login.php on line 20, referer: http://10.60.36.1/~idzneladze/login.php"
"2025-11-04 10:04:46",172.16.38.19,php7,notice,"PHP Notice:  Undefined index: password in /home/idzneladze/public_html/login.php on line 25, referer: http://10.60.36.1/~idzneladze/login.php"
"2025-11-04 10:04:56",172.16.38.19,php7,notice,"PHP Notice:  Undefined index: password in /home/idzneladze/public_html/login.php on line 25, referer: http://10.60.36.1/~idzneladze/login.php"
"2025-11-04 10:04:59",172.16.38.19,php7,notice,"PHP Notice:  Undefined index: password in /home/idzneladze/public_html/login.php on line 25, referer: http://10.60.36.1/~idzneladze/login.php"
"2025-11-04 10:05:00",172.16.38.19,php7,notice,"PHP Notice:  Undefined index: password in /home/idzneladze/public_html/login.php on line 25, referer: http://10.60.36.1/~idzneladze/login.php"
"2025-11-04 10:05:00",172.16.38.19,php7,notice,"PHP Notice:  Undefined index: password in /home/idzneladze/public_html/login.php on line 25, referer: http://10.60.36.1/~idzneladze/login.php"
"2025-11-04 10:05:01",172.16.38.19,php7,notice,"PHP Notice:  Undefined index: password in /home/idzneladze/public_html/login.php on line 25, referer: http://10.60.36.1/~idzneladze/login.php"
"2025-11-04 10:11:09",172.16.38.19,php7,error,"script '/home/idzneladze/public_html/maintenance.php' not found or unable to stat, referer: http://10.60.36.1/~idzneladze/login.php"
"2025-11-04 10:17:55",172.16.38.19,php7,error,"script '/home/idzneladze/public_html/logout.php' not found or unable to stat, referer: http://10.60.36.1/~idzneladze/index.html"
"2025-11-04 10:18:19",172.16.38.19,php7,error,"script '/home/idzneladze/public_html/maintenance.php' not found or unable to stat, referer: http://10.60.36.1/~idzneladze/login.php"
"2025-11-04 10:18:39",172.16.38.19,php7,error,"script '/home/idzneladze/public_html/maintenance.php' not found or unable to stat, referer: http://10.60.36.1/~idzneladze/login.php"
"2025-11-04 10:18:49",172.16.38.19,php7,error,"script '/home/idzneladze/public_html/maintenance.php' not found or unable to stat, referer: http://10.60.36.1/~idzneladze/main.html"
"2025-11-04 12:07:01",10.212.134.2,php7,warn,"PHP Warning:  include(db_connection.php): failed to open stream: No such file or directory in /home/anmata/public_html/lostandfound/login.php on line 3"
"2025-11-04 12:07:01",10.212.134.2,php7,warn,"PHP Warning:  include(): Failed opening 'db_connection.php' for inclusion (include_path='.:/usr/share/php7:/usr/share/php7/PEAR') in /home/anmata/public_html/lostandfound/login.php on line 3"
"2025-11-04 12:07:15",10.212.134.2,php7,warn,"PHP Warning:  include(db_connection.php): failed to open stream: No such file or directory in /home/anmata/public_html/lostandfound/login.php on line 3, referer: http://10.60.36.1/~anmata/lostandfound/login.php"
"2025-11-04 12:07:15",10.212.134.2,php7,warn,"PHP Warning:  include(): Failed opening 'db_connection.php' for inclusion (include_path='.:/usr/share/php7:/usr/share/php7/PEAR') in /home/anmata/public_html/lostandfound/login.php on line 3, referer: http://10.60.36.1/~anmata/lostandfound/login.php"
"2025-11-04 12:07:15",10.212.134.2,php7,notice,"PHP Notice:  Undefined variable: conn in /home/anmata/public_html/lostandfound/login.php on line 11, referer: http://10.60.36.1/~anmata/lostandfound/login.php"
